;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
216;Tick;217;lvmh;3.03;3.02;3.0;25029;11.510419980648907;16829539;19.801707438209846;13.741912872935684
217;Tick;218;lvmh;3.03;3.02;3.0;18321;11.577386743246368;16847860;19.79244620156029;13.56311555877708
218;Tick;219;lvmh;3.03;3.02;3.0;33149;11.642509565628547;16881009;19.748428413553718;13.375456534288835
219;Tick;220;lvmh;3.02;3.01;3.0;42287;11.705850676885488;16923296;19.714216046178052;13.17222702362957
220;Tick;221;lvmh;3.02;3.01;3.0;11320;11.767469359493083;16934616;19.790877945925022;12.968459697255335
221;Tick;222;lvmh;3.02;3.01;3.0;92445;11.827422138340328;17027061;19.669902856668553;12.72361207882669
222;Tick;223;lvmh;3.02;3.01;3.0;37450;11.885762954242496;17064511;19.651094002738628;12.479465357223223
223;Tick;224;lvmh;3.02;3.01;3.0;20707;11.942543323488929;17085218;19.63271369956698;12.235960388499935
224;Tick;225;lvmh;3.02;3.01;3.0;106277;11.997812484792531;17191495;19.681252284728057;12.011990852024507
225;Tick;226;lvmh;3.02;3.01;3.0;15950;12.051617534851871;17207445;19.673187354876454;11.781773395856332
226;Tick;227;lvmh;3.02;3.01;3.0;28210;12.104003553600165;17235655;19.869213644026793;11.557849751332057
227;Tick;228;lvmh;3.02;3.01;3.0;78333;12.155013720096312;17313988;19.790059369251004;11.352269882123405
228;Tick;229;lvmh;3.02;3.01;3.02;277944;12.204689419910013;17591932;19.84077573631821;11.140058168431644
229;Tick;230;lvmh;3.19;3.18;3.1;332834;12.250749565011102;17924766;19.80800791805921;10.938426559195051
230;Tick;231;lvmh;3.21;3.2;3.53;482230;12.286799526829302;18406996;19.307143399284026;10.760964675906123
231;Tick;232;lvmh;3.52;3.51;3.84;951269;12.284860223751389;19358265;18.31241910748137;10.673999963403405
232;Tick;233;lvmh;3.76;3.75;4.43;2844287;12.26647983008994;22202552;18.76349107841009;10.635202321473605
233;Tick;234;lvmh;4.38;4.37;4.45;1237189;12.241220846796226;23439741;19.21972978122429;10.650954500185964
234;Tick;235;lvmh;4.96;4.95;5.32;3389477;12.21642708769791;26829218;18.557168028154766;10.667582113319835
235;Tick;236;lvmh;5.0;4.99;5.13;1294188;12.239685804557647;28123406;18.650397892666373;10.677148220466865
236;Tick;237;lvmh;5.06;5.05;5.14;3918150;12.246260294214437;32041556;19.79607689891583;10.696371490358366
237;Tick;238;lvmh;5.29;5.28;5.29;732672;12.253259329055341;32774228;19.522566574452515;10.714816991891583
238;Tick;239;lvmh;5.24;5.23;5.19;1402509;12.272227583505876;34176737;19.499272621207712;10.725350794936654
239;Tick;240;lvmh;5.12;5.11;5.07;155172;12.282296966598363;34331909;19.507591355914894;10.740945723274555
240;Tick;241;lvmh;5.09;5.08;4.96;847974;12.283199125355669;35179883;19.0911057097537;10.760871453547713
241;Tick;242;lvmh;5.03;5.02;4.84;358478;12.276981603353223;35538361;19.03318157744929;10.7830873812621
242;Tick;243;lvmh;4.78;4.77;4.38;832525;12.264375986414224;36370886;18.793585642324004;10.806086982556645
243;Tick;244;lvmh;4.39;4.38;4.23;372453;12.239316266044966;36743339;18.760993241678477;10.816030913183878
244;Tick;245;lvmh;4.36;4.35;4.13;367465;12.214293658427822;37110804;18.808293157834246;10.81588674214924
